Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8,
142597841,00000237,false,Rx,1,8,3D,41,00,17,00,00,00,00,
142598082,00000209,false,Rx,1,8,00,00,00,00,68,07,14,00,
142598322,00000229,false,Rx,1,8,2B,02,A8,00,D6,00,3A,B8,
142598562,00000239,false,Rx,1,8,3E,41,00,17,00,00,00,00,
142598805,0000020B,false,Rx,1,8,00,01,80,FF,68,07,14,00,
142599037,0000022B,false,Rx,1,8,0C,02,94,00,EA,00,3A,B8,
142599284,0000023B,false,Rx,1,8,3D,41,00,17,00,00,00,00,
142599517,00000247,false,Rx,1,8,66,7D,89,03,00,00,26,00,
142599751,00000249,false,Rx,1,8,66,7D,89,03,00,00,26,00,
142599991,0000024B,false,Rx,1,8,66,7D,89,03,00,00,26,00,
142600232,00000717,false,Rx,1,8,06,00,C5,38,00,08,00,40,
142600472,00000719,false,Rx,1,8,05,00,00,00,00,00,00,00,
142600714,0000071B,false,Rx,1,8,04,00,00,00,0D,09,0C,00,
142607158,00000217,false,Rx,1,8,00,80,7F,00,80,02,00,04,
142607651,00000219,false,Rx,1,8,00,C0,7F,00,82,02,00,04,
142608476,0000021B,false,Rx,1,8,00,00,00,00,7E,02,00,04,
142638717,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
142657140,0000042C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142657379,0000043C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142657634,0000044C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142697366,00000207,false,Rx,1,8,00,01,40,00,68,05,14,00,
142697597,00000227,false,Rx,1,8,34,02,B5,00,9F,00,3A,B8,
142697847,00000209,false,Rx,1,8,00,00,00,00,68,05,14,00,
142698079,00000229,false,Rx,1,8,2D,02,98,00,CD,00,3A,B8,
142698327,00000237,false,Rx,1,8,3D,41,00,17,00,00,00,00,
142698568,00000239,false,Rx,1,8,3E,41,00,17,00,00,00,00,
142698809,0000020B,false,Rx,1,8,00,01,C0,FF,68,05,14,00,
142699049,0000022B,false,Rx,1,8,11,02,9A,00,F9,00,3A,B8,
142699297,0000023B,false,Rx,1,8,3D,41,00,17,00,00,00,00,
142699528,00000247,false,Rx,1,8,66,7D,89,03,00,00,26,00,
142699769,00000249,false,Rx,1,8,66,7D,89,03,00,00,26,00,
142700002,0000024B,false,Rx,1,8,66,7D,89,03,00,00,26,00,
142700243,00000717,false,Rx,1,8,07,00,00,00,02,25,00,00,
142700483,00000719,false,Rx,1,8,06,00,89,39,00,08,00,40,
142700723,0000071B,false,Rx,1,8,05,00,00,00,00,00,00,00,
142707152,00000217,false,Rx,1,8,00,80,7F,00,80,02,00,04,
142707623,00000219,false,Rx,1,8,00,C0,7F,00,82,02,00,04,
142708426,0000021B,false,Rx,1,8,00,00,00,00,7E,02,00,04,
142738725,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
142738852,0000010C,false,Rx,1,2,05,00,00,00,00,00,00,00,
142739008,00000547,false,Rx,1,2,05,FF,00,00,00,00,00,00,
142739142,00000549,false,Rx,1,2,05,FF,00,00,00,00,00,00,
142739277,0000054B,false,Rx,1,2,05,FF,00,00,00,00,00,00,
142757139,0000042C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142757385,0000043C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142757633,0000044C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142797320,00000207,false,Rx,1,8,00,01,40,00,68,05,14,00,
142797559,00000227,false,Rx,1,8,3F,02,B2,00,99,00,3A,B8,
142797801,00000209,false,Rx,1,8,00,00,00,00,68,05,14,00,
142798034,00000229,false,Rx,1,8,3A,02,9D,00,B9,00,3A,B8,
142798281,00000237,false,Rx,1,8,3D,41,00,17,00,00,00,00,
142798530,00000239,false,Rx,1,8,3E,41,00,17,00,00,00,00,
142798771,0000020B,false,Rx,1,8,00,01,C0,FF,68,05,14,00,
142799003,0000022B,false,Rx,1,8,1C,02,92,00,C8,00,3A,B8,
142799244,0000023B,false,Rx,1,8,3D,41,00,17,00,00,00,00,
142799483,00000247,false,Rx,1,8,66,7D,89,03,00,00,26,00,
142799716,00000249,false,Rx,1,8,66,7D,89,03,00,00,26,00,
142799957,0000024B,false,Rx,1,8,66,7D,89,03,00,00,26,00,
142800197,00000717,false,Rx,1,8,08,00,00,00,35,39,00,00,
142800437,00000719,false,Rx,1,8,07,00,00,00,02,25,00,00,
142800679,0000071B,false,Rx,1,8,06,00,4D,39,00,08,00,40,
142807115,00000217,false,Rx,1,8,00,80,7F,00,80,02,00,04,
142807632,00000219,false,Rx,1,8,00,C0,7F,00,82,02,00,04,
142808412,0000021B,false,Rx,1,8,00,40,00,00,7F,02,00,04,
142838726,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
142857134,0000042C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142857380,0000043C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142857629,0000044C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142897300,00000207,false,Rx,1,8,00,01,00,00,68,05,14,00,
142897533,00000227,false,Rx,1,8,48,02,BD,00,87,00,3A,B8,
142897781,00000209,false,Rx,1,8,00,00,00,00,68,05,14,00,
142898015,00000229,false,Rx,1,8,47,02,9E,00,AA,00,3A,B8,
142898256,00000237,false,Rx,1,8,3D,41,00,17,00,00,00,00,
142898503,00000239,false,Rx,1,8,3E,41,00,17,00,00,00,00,
142898744,0000020B,false,Rx,1,8,00,01,C0,FF,68,05,14,00,
142898978,0000022B,false,Rx,1,8,20,02,91,00,BA,00,3A,B8,
142899225,0000023B,false,Rx,1,8,3D,41,00,17,00,00,00,00,
142899456,00000247,false,Rx,1,8,66,7D,89,03,00,00,26,00,
142899697,00000249,false,Rx,1,8,66,7D,89,03,00,00,26,00,
142899931,0000024B,false,Rx,1,8,66,7D,89,03,00,00,26,00,
142900171,00000717,false,Rx,1,8,09,00,09,39,00,00,00,00,
142900411,00000719,false,Rx,1,8,08,00,00,00,55,39,00,00,
142900652,0000071B,false,Rx,1,8,07,00,00,00,02,25,00,00,
142907097,00000217,false,Rx,1,8,00,80,7F,00,80,02,00,04,
142907591,00000219,false,Rx,1,8,00,C0,7F,00,82,02,00,04,
142908411,0000021B,false,Rx,1,8,00,40,00,00,7F,02,00,04,
142938720,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
142938854,0000010C,false,Rx,1,2,06,00,00,00,00,00,00,00,
142939004,00000549,false,Rx,1,2,06,FF,00,00,00,00,00,00,
142939137,00000547,false,Rx,1,2,06,FF,00,00,00,00,00,00,
142939271,0000054B,false,Rx,1,2,06,FF,00,00,00,00,00,00,
142957134,0000042C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142957382,0000043C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142957629,0000044C,false,Rx,1,8,00,60,00,00,20,00,00,00,
142997264,00000207,false,Rx,1,8,00,01,00,00,68,05,14,00,
142997495,00000227,false,Rx,1,8,4F,02,BB,00,7C,00,3A,B8,
142997744,00000237,false,Rx,1,8,3D,41,00,17,00,00,00,00,
142997991,00000209,false,Rx,1,8,00,00,00,00,68,05,14,00,
142998225,00000229,false,Rx,1,8,4F,02,9E,00,98,00,3A,B8,
142998465,00000239,false,Rx,1,8,3E,41,00,17,00,00,00,00,
142998706,0000020B,false,Rx,1,8,00,01,C0,FF,68,05,14,00,
142998940,0000022B,false,Rx,1,8,2D,02,8E,00,B1,00,3A,B8,
142999187,0000023B,false,Rx,1,8,3D,41,00,17,00,00,00,00,
142999426,00000247,false,Rx,1,8,66,7D,89,03,00,00,26,00,
142999659,00000249,false,Rx,1,8,66,7D,89,03,00,00,26,00,
142999893,0000024B,false,Rx,1,8,66,7D,89,03,00,00,26,00,
143000140,00000717,false,Rx,1,8,0A,00,00,00,00,00,00,00,
143000381,00000719,false,Rx,1,8,09,00,99,39,00,00,00,00,
143000629,0000071B,false,Rx,1,8,08,00,00,00,6D,39,00,00,
143007064,00000217,false,Rx,1,8,00,40,7F,00,80,02,00,04,
143007566,00000219,false,Rx,1,8,00,C0,7F,00,83,02,00,04,
143008369,0000021B,false,Rx,1,8,00,40,00,00,7F,02,00,04,
143038722,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
143057137,0000042C,false,Rx,1,8,00,60,00,00,20,00,00,00,
143057384,0000043C,false,Rx,1,8,00,60,00,00,20,00,00,00,
143057631,0000044C,false,Rx,1,8,00,60,00,00,20,00,00,00,
143097165,00000367,false,Rx,1,8,00,00,00,00,00,00,00,00,
143097404,00000207,false,Rx,1,8,00,01,00,00,68,03,14,00,
143097636,00000227,false,Rx,1,8,56,02,B9,00,7C,00,3A,B8,
143097886,00000209,false,Rx,1,8,00,00,00,00,68,05,14,00,
143098118,00000229,false,Rx,1,8,5E,02,9D,00,89,00,3A,B8,
143098365,00000237,false,Rx,1,8,3D,41,00,17,00,00,00,00,
143098605,0000020B,false,Rx,1,8,00,01,C0,FF,68,05,14,00,
143098841,0000022B,false,Rx,1,8,3A,02,94,00,AC,00,3A,B8,
143099081,00000239,false,Rx,1,8,3E,41,00,17,00,00,00,00,
143099327,0000023B,false,Rx,1,8,3D,41,00,17,00,00,00,00,
143099561,00000247,false,Rx,1,8,66,7D,89,03,00,00,26,00,
143099802,00000249,false,Rx,1,8,66,7D,89,03,00,00,26,00,
143100034,0000024B,false,Rx,1,8,66,7D,89,03,00,00,26,00,
143100283,00000717,false,Rx,1,8,0B,00,00,00,00,00,00,00,
143100530,00000719,false,Rx,1,8,0A,00,00,00,00,00,00,00,
143100771,0000071B,false,Rx,1,8,09,00,BD,38,00,00,00,00,
143107044,00000217,false,Rx,1,8,00,40,7F,00,80,02,00,04,
143107284,00000507,false,Rx,1,8,2C,00,05,00,00,00,00,40,
143107539,00000377,false,Rx,1,8,00,00,00,00,00,00,00,00,
143107781,00000219,false,Rx,1,8,00,C0,7F,00,82,02,00,04,
143108351,0000021B,false,Rx,1,8,00,40,00,00,7F,02,00,04,
143117142,00000347,false,Rx,1,8,00,00,00,00,00,08,00,00,
143127138,00000357,false,Rx,1,8,00,00,00,00,00,00,00,00,
143137150,00000327,false,Rx,1,8,00,00,00,00,00,00,00,00,
143138716,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
143138852,0000010C,false,Rx,1,2,07,00,00,00,00,00,00,00,
143139000,00000547,false,Rx,1,2,07,FF,00,00,00,00,00,00,
143139134,00000549,false,Rx,1,2,07,FF,00,00,00,00,00,00,
143139272,0000054B,false,Rx,1,2,07,FF,00,00,00,00,00,00,
143147136,00000337,false,Rx,1,8,00,00,00,00,00,00,00,00,
143157133,0000042C,false,Rx,1,8,00,60,00,00,20,00,00,00,
143157387,00000367,false,Rx,1,8,00,00,00,00,00,00,00,00,
143157634,0000043C,false,Rx,1,8,00,60,00,00,20,00,00,00,
143157877,0000044C,false,Rx,1,8,00,60,00,00,20,00,00,00,
143167143,00000377,false,Rx,1,8,00,00,00,00,00,00,00,00,
143177156,00000347,false,Rx,1,8,00,00,00,00,00,08,00,00,
143187153,00000357,false,Rx,1,8,00,00,00,00,00,00,00,00,
143197150,00000327,false,Rx,1,8,00,00,00,00,00,00,00,00,
143197396,00000207,false,Rx,1,8,00,01,00,00,68,03,14,00,
143197628,00000227,false,Rx,1,8,65,02,B3,00,5A,00,3A,B8,
143197870,00000237,false,Rx,1,8,3D,41,00,17,00,00,00,00,
143198118,00000209,false,Rx,1,8,00,00,00,00,68,03,14,00,
143198350,00000229,false,Rx,1,8,6A,02,9D,00,7B,00,3A,B8,
143198591,0000020B,false,Rx,1,8,00,01,C0,FF,68,05,14,00,
143198825,0000022B,false,Rx,1,8,45,02,94,00,8F,00,3A,B8,
143199065,00000239,false,Rx,1,8,3E,41,00,17,00,00,00,00,
143199312,0000023B,false,Rx,1,8,3D,41,00,17,00,00,00,00,
143199544,00000247,false,Rx,1,8,66,7D,89,03,00,00,26,00,
143199786,00000249,false,Rx,1,8,66,7D,89,03,00,00,26,00,
143200020,0000024B,false,Rx,1,8,66,7D,89,03,00,00,26,00,
143200267,00000369,false,Rx,1,8,00,00,00,00,00,00,00,00,
143200507,00000717,false,Rx,1,8,0C,01,00,04,04,06,01,00,
143200748,00000719,false,Rx,1,8,0B,00,00,00,00,00,00,00,
143200997,0000071B,false,Rx,1,8,0A,00,00,00,00,00,00,00,
143207047,00000217,false,Rx,1,8,00,40,7F,00,80,02,00,04,
143207293,00000337,false,Rx,1,8,00,00,00,00,00,00,00,00,
143207533,00000219,false,Rx,1,8,00,C0,7F,00,82,02,00,04,
143207783,00000509,false,Rx,1,8,2C,00,05,00,00,00,00,80,
143208030,00000379,false,Rx,1,8,00,00,00,00,00,00,00,00,
143208322,0000021B,false,Rx,1,8,00,40,00,00,7F,02,00,04,
143217620,00000349,false,Rx,1,8,00,00,00,00,00,08,00,00,
143227625,00000359,false,Rx,1,8,00,00,00,00,00,00,00,00,
143237622,00000329,false,Rx,1,8,00,00,00,00,00,00,00,00,
143238719,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
143247618,00000339,false,Rx,1,8,00,00,00,00,00,00,00,00,
143257139,0000042C,false,Rx,1,8,00,60,00,00,20,00,00,00,
143257385,0000043C,false,Rx,1,8,00,60,00,00,20,00,00,00,
143257626,00000369,false,Rx,1,8,00,00,00,00,00,00,00,00,
143257876,0000044C,false,Rx,1,8,00,60,00,00,20,00,00,00,
143267610,00000379,false,Rx,1,8,00,00,00,00,00,00,00,00,
143277623,00000349,false,Rx,1,8,00,00,00,00,00,08,00,00,
143287621,00000359,false,Rx,1,8,00,00,00,00,00,00,00,00,
143297210,00000207,false,Rx,1,8,00,00,00,00,68,03,14,00,
143297441,00000227,false,Rx,1,8,6D,02,AC,00,53,00,3A,B8,
143297691,00000237,false,Rx,1,8,3D,41,00,17,00,00,00,00,
143297923,00000247,false,Rx,1,8,66,7D,89,03,00,00,26,00,
143298171,00000209,false,Rx,1,8,00,00,00,00,68,03,14,00,
143298404,00000229,false,Rx,1,8,6E,02,9E,00,7B,00,3A,B8,
143298652,00000239,false,Rx,1,8,3E,41,00,17,00,00,00,00,
143298893,0000020B,false,Rx,1,8,00,00,00,00,68,03,14,00,
143299127,0000022B,false,Rx,1,8,46,02,91,00,79,00,3A,B8,
143299373,0000023B,false,Rx,1,8,3D,41,00,17,00,00,00,00,
143299606,00000249,false,Rx,1,8,66,7D,89,03,00,00,26,00,
143299846,0000024B,false,Rx,1,8,66,7D,89,03,00,00,26,00,
143300095,00000329,false,Rx,1,8,00,00,00,00,00,00,00,00,
143300342,0000036B,false,Rx,1,8,00,00,00,00,00,00,00,00,
143300582,00000717,false,Rx,1,8,0E,00,00,02,A6,04,00,00,
143300824,00000719,false,Rx,1,8,0C,01,00,04,04,06,01,00,
143301071,0000071B,false,Rx,1,8,0B,00,00,00,00,00,00,00,
143307002,00000217,false,Rx,1,8,00,40,7F,00,80,02,00,04,
143307517,00000219,false,Rx,1,8,00,C0,7F,00,82,02,00,04,
143307767,00000339,false,Rx,1,8,00,00,00,00,00,00,00,00,
143308298,0000021B,false,Rx,1,8,00,40,00,00,7F,02,00,04,
143308547,0000050B,false,Rx,1,8,2C,00,05,00,00,00,00,C0,
143308796,0000037B,false,Rx,1,8,00,00,00,00,00,00,00,00,
143318400,0000034B,false,Rx,1,8,00,00,00,00,00,08,00,00,
143328412,0000035B,false,Rx,1,8,00,00,00,00,00,00,00,00,
143338402,0000032B,false,Rx,1,8,00,00,00,00,00,00,00,00,
143338761,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
143338896,0000010C,false,Rx,1,2,08,00,00,00,00,00,00,00,
143339054,00000547,false,Rx,1,2,08,FF,00,00,00,00,00,00,
143339188,00000549,false,Rx,1,2,08,FF,00,00,00,00,00,00,
143339329,0000054B,false,Rx,1,2,08,FF,00,00,00,00,00,00,
143348392,0000033B,false,Rx,1,8,00,00,00,00,00,00,00,00,
143357135,0000042C,false,Rx,1,8,00,60,00,00,20,00,00,00,
143357381,0000043C,false,Rx,1,8,00,60,00,00,20,00,00,00,
143357629,0000044C,false,Rx,1,8,00,60,00,00,20,00,00,00,
143358395,0000036B,false,Rx,1,8,00,00,00,00,00,00,00,00,
143368397,0000037B,false,Rx,1,8,00,00,00,00,00,00,00,00,
143378410,0000034B,false,Rx,1,8,00,00,00,00,00,08,00,00,
143388414,0000035B,false,Rx,1,8,00,00,00,00,00,00,00,00,
143397173,00000207,false,Rx,1,8,00,00,00,00,68,03,14,00,
143397405,00000227,false,Rx,1,8,79,02,B0,00,45,00,3A,B8,
143397652,00000237,false,Rx,1,8,3D,41,00,17,00,00,00,00,
143397901,00000209,false,Rx,1,8,00,00,00,00,68,03,14,00,
143398133,00000229,false,Rx,1,8,76,02,99,00,66,00,3A,B8,
143398374,00000239,false,Rx,1,8,3E,41,00,17,00,00,00,00,
143398614,00000247,false,Rx,1,8,66,7D,89,03,00,00,26,00,
143398848,0000020B,false,Rx,1,8,00,00,C0,FF,68,03,14,00,
143399082,0000022B,false,Rx,1,8,5A,02,8F,00,6E,00,3A,B8,
143399328,0000023B,false,Rx,1,8,3D,41,00,17,00,00,00,00,
143399561,00000249,false,Rx,1,8,66,7D,89,03,00,00,26,00,
143399803,0000024B,false,Rx,1,8,66,7D,89,03,00,00,26,00,
143400050,0000032B,false,Rx,1,8,00,00,00,00,00,00,00,00,
143400282,00000717,false,Rx,1,8,0F,00,CD,01,5E,24,00,00,
143400523,00000719,false,Rx,1,8,0E,00,00,02,A6,04,00,00,
143400764,0000071B,false,Rx,1,8,0C,01,00,04,04,06,01,00,
143406971,00000217,false,Rx,1,8,00,40,7F,00,80,02,00,04,
143407472,00000219,false,Rx,1,8,00,C0,7F,00,82,02,00,04,
143408306,0000021B,false,Rx,1,8,00,40,00,00,7F,02,00,04,
143408553,0000033B,false,Rx,1,8,00,00,00,00,00,00,00,00,
143438721,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
143457136,0000042C,false,Rx,1,8,00,60,00,00,20,00,00,00,
143457384,0000043C,false,Rx,1,8,00,60,00,00,20,00,00,00,
143457631,0000044C,false,Rx,1,8,00,60,00,00,20,00,00,00,
143497157,00000207,false,Rx,1,8,00,00,00,00,68,03,14,00,
143497397,00000227,false,Rx,1,8,7E,02,A8,00,3D,00,3A,B8,
143497637,00000237,false,Rx,1,8,3D,41,00,17,00,00,00,00,
143497886,00000209,false,Rx,1,8,00,00,00,00,68,03,14,00,
143498112,00000229,false,Rx,1,8,85,02,99,00,46,00,3A,B8,
143498359,00000239,false,Rx,1,8,3E,41,00,17,00,00,00,00,
143498599,0000020B,false,Rx,1,8,00,00,C0,FF,68,03,14,00,
143498827,0000022B,false,Rx,1,8,63,02,90,00,74,00,3A,B8,
143499074,0000023B,false,Rx,1,8,3D,41,00,17,00,00,00,00,
143499313,00000247,false,Rx,1,8,66,7D,89,03,00,00,26,00,
143499547,00000249,false,Rx,1,8,66,7D,89,03,00,00,26,00,
143499782,0000024B,false,Rx,1,8,66,7D,89,03,00,00,26,00,
143500021,00000717,false,Rx,1,8,10,FB,0F,00,13,00,00,00,
143500254,00000719,false,Rx,1,8,0F,00,CD,01,26,24,00,00,
143500495,0000071B,false,Rx,1,8,0E,00,00,02,A6,04,00,00,
143506968,00000217,false,Rx,1,8,00,40,7F,00,80,02,00,04,
143507448,00000219,false,Rx,1,8,00,C0,7F,00,82,02,00,04,
143508250,0000021B,false,Rx,1,8,00,40,00,00,7F,02,00,04,
